,Location,Count Date,Day,24 Hr. Total Vol.,Unnamed: 4,coordinates
5754,AVENUE L E/O 52ND STREET W,02/08/2011 12:00:00 AM,Tue,12329,"AVENUE L E/O 52ND STREET W, california","40.7638931, -73.9860259"
5755,AVENUE L E/O 52ND STREET W,02/07/2011 12:00:00 AM,Mon,12092,"AVENUE L E/O 52ND STREET W, california","40.7638931, -73.9860259"
5756,AVENUE L W/O 42ND STREET W,09/23/2013 12:00:00 AM,Mon,19278,"AVENUE L W/O 42ND STREET W, california","40.758622, -73.993811"
5757,AVENUE L W/O 42ND STREET W,09/21/2009 12:00:00 AM,Mon,21286,"AVENUE L W/O 42ND STREET W, california","40.758622, -73.993811"
5758,AVENUE L W/O 42ND STREET W,09/15/2009 12:00:00 AM,Tue,20950,"AVENUE L W/O 42ND STREET W, california","40.758622, -73.993811"
5759,AVENUE L W/O 42ND STREET W,09/14/2009 12:00:00 AM,Mon,20539,"AVENUE L W/O 42ND STREET W, california","40.758622, -73.993811"
5760,AVENUE L W/O 45TH STREET W,11/07/2010 12:00:00 AM,Sun,12046,"AVENUE L W/O 45TH STREET W, california","26.7592672, -80.09848029999999"
5761,AVENUE L W/O 45TH STREET W,11/06/2010 12:00:00 AM,Sat,17719,"AVENUE L W/O 45TH STREET W, california","26.7592672, -80.09848029999999"
5762,AVENUE L W/O 45TH STREET W,11/05/2010 12:00:00 AM,Fri,18160,"AVENUE L W/O 45TH STREET W, california","26.7592672, -80.09848029999999"
5763,AVENUE L W/O 45TH STREET W,11/04/2010 12:00:00 AM,Thur,17289,"AVENUE L W/O 45TH STREET W, california","26.7592672, -80.09848029999999"
5764,AVENUE L W/O 47TH STREET W,05/21/2013 12:00:00 AM,Tue,15724,"AVENUE L W/O 47TH STREET W, california","34.6839579, -118.2146789"
5765,AVENUE L W/O 47TH STREET W,03/20/2011 12:00:00 AM,Sun,8568,"AVENUE L W/O 47TH STREET W, california","34.6839579, -118.2146789"
5766,AVENUE L W/O 47TH STREET W,03/19/2011 12:00:00 AM,Sat,13825,"AVENUE L W/O 47TH STREET W, california","34.6839579, -118.2146789"
5767,AVENUE L W/O 47TH STREET W,03/18/2011 12:00:00 AM,Fri,17059,"AVENUE L W/O 47TH STREET W, california","34.6839579, -118.2146789"
5768,AVENUE L W/O 47TH STREET W,03/17/2011 12:00:00 AM,Thur,16162,"AVENUE L W/O 47TH STREET W, california","34.6839579, -118.2146789"
5769,AVENUE L W/O 47TH STREET W,03/16/2011 12:00:00 AM,Wed,15554,"AVENUE L W/O 47TH STREET W, california","34.6839579, -118.2146789"
5770,SCHUEREN ROAD S/O STUNT ROAD,01/31/2016 12:00:00 AM,Sun,306,"SCHUEREN ROAD S/O STUNT ROAD, california","34.090714, -118.6558707"
5771,SCHUEREN ROAD N/O RAMBLA PACIFICO,01/31/2016 12:00:00 AM,Sun,320,"SCHUEREN ROAD N/O RAMBLA PACIFICO, california","34.0520272, -118.6470021"
5772,AVENUE L W/O 47TH STREET W,09/21/2009 12:00:00 AM,Mon,16892,"AVENUE L W/O 47TH STREET W, california","34.6839579, -118.2146789"
5773,AVENUE L W/O 47TH STREET W,09/15/2009 12:00:00 AM,Tue,17106,"AVENUE L W/O 47TH STREET W, california","34.6839579, -118.2146789"
5774,AVENUE L W/O 47TH STREET W,09/14/2009 12:00:00 AM,Mon,16729,"AVENUE L W/O 47TH STREET W, california","34.6839579, -118.2146789"
5775,AVENUE L W/O 50TH STREET W,01/18/2011 12:00:00 AM,Tue,12263,"AVENUE L W/O 50TH STREET W, california","34.7577244, -118.2196872"
5776,PINE STREET E/O ALAMEDA STREET,07/27/2015 12:00:00 AM,Mon,6434,"PINE STREET E/O ALAMEDA STREET, california","37.7919175, -122.4002924"
5777,AZUSA AVENUE N/O PEPPERBROOK WAY,06/21/2007 12:00:00 AM,Thur,53846,"AZUSA AVENUE N/O PEPPERBROOK WAY, california","33.9930861, -117.936195"
5778,BAILEY AVENUE N/O TERESA AVENUE,02/14/2007 12:00:00 AM,Wed,523,"BAILEY AVENUE N/O TERESA AVENUE, california","42.971481, -78.8067743"
5779,BAILEY AVENUE S/O TERESA AVENUE,02/14/2007 12:00:00 AM,Wed,466,"BAILEY AVENUE S/O TERESA AVENUE, california","42.3906107, -86.2637506"
5780,BALAN ROAD E/O ANNADEL AVENUE,09/10/2008 12:00:00 AM,Wed,1634,"BALAN ROAD E/O ANNADEL AVENUE, california","33.98106500000001, -117.878452"
5781,BALAN ROAD E/O ANNADEL AVENUE,09/09/2008 12:00:00 AM,Tue,1596,"BALAN ROAD E/O ANNADEL AVENUE, california","33.98106500000001, -117.878452"
5782,BALAN ROAD E/O ANNADEL AVENUE,09/08/2008 12:00:00 AM,Mon,1546,"BALAN ROAD E/O ANNADEL AVENUE, california","33.98106500000001, -117.878452"
5783,BALAN ROAD E/O BLUE HAVEN ROAD,09/10/2008 12:00:00 AM,Wed,1637,"BALAN ROAD E/O BLUE HAVEN ROAD, california",N/A
5784,BALAN ROAD E/O BLUE HAVEN ROAD,09/09/2008 12:00:00 AM,Tue,1581,"BALAN ROAD E/O BLUE HAVEN ROAD, california",N/A
5785,BALAN ROAD E/O BLUE HAVEN ROAD,09/08/2008 12:00:00 AM,Mon,1544,"BALAN ROAD E/O BLUE HAVEN ROAD, california",N/A
5786,HELEN DRIVE N/O COMLY STREET,02/05/2015 12:00:00 AM,Thu,371,"HELEN DRIVE N/O COMLY STREET, california","34.0563321, -118.1708117"
5787,EASTERN AVENUE S/O ROSILYN DRIVE,02/05/2015 12:00:00 AM,Thu,19296,"EASTERN AVENUE S/O ROSILYN DRIVE, california","40.789142, -73.13496099999999"
5788,BALAN ROAD W/O ANNADEL AVENUE,09/17/2008 12:00:00 AM,Wed,415,"BALAN ROAD W/O ANNADEL AVENUE, california","33.98106500000001, -117.878452"
5789,BALAN ROAD W/O ANNADEL AVENUE,09/16/2008 12:00:00 AM,Tue,357,"BALAN ROAD W/O ANNADEL AVENUE, california","33.98106500000001, -117.878452"
5790,BALAN ROAD W/O ANNADEL AVENUE,09/15/2008 12:00:00 AM,Mon,324,"BALAN ROAD W/O ANNADEL AVENUE, california","33.98106500000001, -117.878452"
5791,BALAN ROAD W/O FRANCES LANE,09/10/2008 12:00:00 AM,Wed,2294,"BALAN ROAD W/O FRANCES LANE, california","43.4864098, -88.8105789"
5792,BALAN ROAD W/O FRANCES LANE,09/09/2008 12:00:00 AM,Tue,2225,"BALAN ROAD W/O FRANCES LANE, california","43.4864098, -88.8105789"
5793,MYRRH STREET E/O ALAMEDA STREET,07/27/2015 12:00:00 AM,Mon,7106,"MYRRH STREET E/O ALAMEDA STREET, california","33.918916, -118.2239489"
5794,BALAN ROAD W/O FRANCES LANE,09/08/2008 12:00:00 AM,Mon,2181,"BALAN ROAD W/O FRANCES LANE, california","43.4864098, -88.8105789"
5795,LAMBERT ROAD E/O WELLSFORD AVENUE,01/31/2016 12:00:00 AM,Sun,479,"LAMBERT ROAD E/O WELLSFORD AVENUE, california","33.9730415, -118.0567182"
5796,BURGESS AVENUE S/O TEDFORD DRIVE,01/31/2016 12:00:00 AM,Sun,588,"BURGESS AVENUE S/O TEDFORD DRIVE, california","33.9225859, -118.023932"
5797,BALFOUR STREET N/O ROSE HEDGE DRIVE,09/23/2009 12:00:00 AM,Wed,322,"BALFOUR STREET N/O ROSE HEDGE DRIVE, california","33.9767974, -118.0591013"
5798,BALFOUR STREET N/O ROSE HEDGE DRIVE,09/22/2009 12:00:00 AM,Tue,376,"BALFOUR STREET N/O ROSE HEDGE DRIVE, california","33.9767974, -118.0591013"
5799,BALFOUR STREET N/O ROSE HEDGE DRIVE,02/24/2008 12:00:00 AM,Sun,304,"BALFOUR STREET N/O ROSE HEDGE DRIVE, california","33.9767974, -118.0591013"
5800,BALFOUR STREET N/O ROSE HEDGE DRIVE,02/23/2008 12:00:00 AM,Sat,354,"BALFOUR STREET N/O ROSE HEDGE DRIVE, california","33.9767974, -118.0591013"
5801,BALFOUR STREET N/O ROSE HEDGE DRIVE,02/22/2008 12:00:00 AM,Fri,408,"BALFOUR STREET N/O ROSE HEDGE DRIVE, california","33.9767974, -118.0591013"
5802,BALFOUR STREET N/O ROSE HEDGE DRIVE,02/21/2008 12:00:00 AM,Thur,395,"BALFOUR STREET N/O ROSE HEDGE DRIVE, california","33.9767974, -118.0591013"
5803,BALHAM AVENUE N/O VILLA PARK STREET,07/31/2011 12:00:00 AM,Sun,217,"BALHAM AVENUE N/O VILLA PARK STREET, california","41.8873669, -87.96896319999999"
5804,BALHAM AVENUE N/O VILLA PARK STREET,07/30/2011 12:00:00 AM,Sat,317,"BALHAM AVENUE N/O VILLA PARK STREET, california","41.8873669, -87.96896319999999"
5805,BALHAM AVENUE N/O VILLA PARK STREET,07/29/2011 12:00:00 AM,Fri,239,"BALHAM AVENUE N/O VILLA PARK STREET, california","41.8873669, -87.96896319999999"
5806,BALHAM AVENUE N/O VILLA PARK STREET,07/28/2011 12:00:00 AM,Thur,261,"BALHAM AVENUE N/O VILLA PARK STREET, california","41.8873669, -87.96896319999999"
5807,BALHAM AVENUE N/O VILLA PARK STREET,03/28/2007 12:00:00 AM,Wed,324,"BALHAM AVENUE N/O VILLA PARK STREET, california","41.8873669, -87.96896319999999"
5808,HELEN DRIVE N/O COMLY STREET,02/06/2015 12:00:00 AM,Fri,440,"HELEN DRIVE N/O COMLY STREET, california","34.0563321, -118.1708117"
5809,BLACKWOOD STREET E/O ECHELON AVENUE,10/27/2007 12:00:00 AM,Sat,284,"BLACKWOOD STREET E/O ECHELON AVENUE, california",N/A
5810,BLACKWOOD STREET E/O ECHELON AVENUE,10/26/2007 12:00:00 AM,Fri,313,"BLACKWOOD STREET E/O ECHELON AVENUE, california",N/A
5811,RUNNING SPRINGS ROAD E/O FOLKSTONE AVENUE,07/28/2015 12:00:00 AM,Tue,569,"RUNNING SPRINGS ROAD E/O FOLKSTONE AVENUE, california","37.2744837, -121.7389262"
5812,BLACKWOOD STREET E/O ECHELON AVENUE,10/25/2007 12:00:00 AM,Thur,332,"BLACKWOOD STREET E/O ECHELON AVENUE, california",N/A
5813,BLACKWOOD STREET W/O ECHELON AVENUE,10/28/2007 12:00:00 AM,Sun,507,"BLACKWOOD STREET W/O ECHELON AVENUE, california","34.03903280000001, -117.934321"
5814,BLACKWOOD STREET W/O ECHELON AVENUE,10/27/2007 12:00:00 AM,Sat,598,"BLACKWOOD STREET W/O ECHELON AVENUE, california","34.03903280000001, -117.934321"
5815,BLACKWOOD STREET W/O ECHELON AVENUE,10/26/2007 12:00:00 AM,Fri,603,"BLACKWOOD STREET W/O ECHELON AVENUE, california","34.03903280000001, -117.934321"
5816,BLACKWOOD STREET W/O ECHELON AVENUE,10/25/2007 12:00:00 AM,Thur,579,"BLACKWOOD STREET W/O ECHELON AVENUE, california","34.03903280000001, -117.934321"
5817,BLANCHARD STREET E/O ALMA AVENUE,06/11/2013 12:00:00 AM,Tue,2861,"BLANCHARD STREET E/O ALMA AVENUE, california","34.04602, -118.19169"
5818,BURGESS AVENUE S/O BUSBY DRIVE,01/31/2016 12:00:00 AM,Sun,737,"BURGESS AVENUE S/O BUSBY DRIVE, california","33.918112, -118.023406"
5819,BLANCHARD STREET E/O ALMA AVENUE,08/25/2010 12:00:00 AM,Wed,3231,"BLANCHARD STREET E/O ALMA AVENUE, california","34.04602, -118.19169"
5820,BLANCHARD STREET E/O EASTERN AVENUE,03/29/2014 12:00:00 AM,Sat,422,"BLANCHARD STREET E/O EASTERN AVENUE, california","34.0225745, -118.1735673"
5821,BLANCHARD STREET E/O EASTERN AVENUE,03/28/2014 12:00:00 AM,Fri,566,"BLANCHARD STREET E/O EASTERN AVENUE, california","34.0225745, -118.1735673"
5822,BLANCHARD STREET E/O EASTERN AVENUE,03/27/2014 12:00:00 AM,Thur,538,"BLANCHARD STREET E/O EASTERN AVENUE, california","34.0225745, -118.1735673"
5823,BLANCHARD STREET E/O EASTMAN AVENUE,09/14/2008 12:00:00 AM,Sun,3434,"BLANCHARD STREET E/O EASTMAN AVENUE, california","34.0444604, -118.1858753"
5824,BLANCHARD STREET E/O EASTMAN AVENUE,09/13/2008 12:00:00 AM,Sat,3862,"BLANCHARD STREET E/O EASTMAN AVENUE, california","34.0444604, -118.1858753"
5825,BLANCHARD STREET E/O EASTMAN AVENUE,09/12/2008 12:00:00 AM,Fri,4355,"BLANCHARD STREET E/O EASTMAN AVENUE, california","34.0444604, -118.1858753"
5826,BLANCHARD STREET E/O EASTMAN AVENUE,09/11/2008 12:00:00 AM,Thur,3977,"BLANCHARD STREET E/O EASTMAN AVENUE, california","34.0444604, -118.1858753"
5827,BLANCHARD STREET E/O HICKS AVENUE,04/12/2009 12:00:00 AM,Sun,3554,"BLANCHARD STREET E/O HICKS AVENUE, california",N/A
5828,BLANCHARD STREET E/O HICKS AVENUE,04/11/2009 12:00:00 AM,Sat,3861,"BLANCHARD STREET E/O HICKS AVENUE, california",N/A
5829,BLANCHARD STREET E/O HICKS AVENUE,04/10/2009 12:00:00 AM,Fri,3966,"BLANCHARD STREET E/O HICKS AVENUE, california",N/A
5830,BLANCHARD STREET E/O HICKS AVENUE,04/09/2009 12:00:00 AM,Thur,3896,"BLANCHARD STREET E/O HICKS AVENUE, california",N/A
5831,BLANCHARD STREET E/O ROWAN AVENUE,09/12/2008 12:00:00 AM,Fri,4075,"BLANCHARD STREET E/O ROWAN AVENUE, california","34.046115, -118.187314"
5832,BLANCHARD STREET E/O ROWAN AVENUE,09/11/2008 12:00:00 AM,Thur,3735,"BLANCHARD STREET E/O ROWAN AVENUE, california","34.046115, -118.187314"
5833,BROADWAY E/O SANTA FE AVENUE,07/26/2013 12:00:00 AM,Fri,11720,"BROADWAY E/O SANTA FE AVENUE, california","40.8915244, -73.89778249999999"
5834,BROADWAY E/O SANTA FE AVENUE,07/25/2013 12:00:00 AM,Thur,11012,"BROADWAY E/O SANTA FE AVENUE, california","40.8915244, -73.89778249999999"
5835,BROADWAY E/O SEVILLE AVENUE,11/18/2007 12:00:00 AM,Sun,4664,"BROADWAY E/O SEVILLE AVENUE, california","33.9863762, -118.2226188"
5836,BROADWAY E/O SEVILLE AVENUE,11/17/2007 12:00:00 AM,Sat,6373,"BROADWAY E/O SEVILLE AVENUE, california","33.9863762, -118.2226188"
5837,BROADWAY E/O SEVILLE AVENUE,11/16/2007 12:00:00 AM,Fri,5484,"BROADWAY E/O SEVILLE AVENUE, california","33.9863762, -118.2226188"
5838,BROADWAY E/O SEVILLE AVENUE,11/15/2007 12:00:00 AM,Thur,4930,"BROADWAY E/O SEVILLE AVENUE, california","33.9863762, -118.2226188"
5839,BROADWAY E/O SEVILLE AVENUE,11/14/2007 12:00:00 AM,Wed,4821,"BROADWAY E/O SEVILLE AVENUE, california","33.9863762, -118.2226188"
5840,BROADWAY E/O SEVILLE AVENUE,11/13/2007 12:00:00 AM,Tue,5027,"BROADWAY E/O SEVILLE AVENUE, california","33.9863762, -118.2226188"
5841,BROADWAY E/O VALLEY VIEW AVENUE,07/29/2013 12:00:00 AM,Mon,3333,"BROADWAY E/O VALLEY VIEW AVENUE, california",N/A
5842,BROADWAY E/O VALLEY VIEW AVENUE,11/06/2007 12:00:00 AM,Tue,4192,"BROADWAY E/O VALLEY VIEW AVENUE, california",N/A
5843,OLD CANYON DRIVE N/O PALM AVENUE,07/28/2015 12:00:00 AM,Tue,674,"OLD CANYON DRIVE N/O PALM AVENUE, california","33.8423726, -116.5459406"
5844,BROADWAY S/O 131ST STREET,01/18/2012 12:00:00 AM,Wed,8285,"BROADWAY S/O 131ST STREET, california","40.8139554, -73.94843490000001"
5845,BROADWAY S/O 138TH STREET,01/18/2012 12:00:00 AM,Wed,9412,"BROADWAY S/O 138TH STREET, california","40.8190146, -73.94653199999999"
5846,HELEN DRIVE N/O COMLY STREET,02/07/2015 12:00:00 AM,Sat,265,"HELEN DRIVE N/O COMLY STREET, california","34.0563321, -118.1708117"
5847,EASTERN AVENUE S/O ROSILYN DRIVE,02/07/2015 12:00:00 AM,Sat,12107,"EASTERN AVENUE S/O ROSILYN DRIVE, california","40.789142, -73.13496099999999"
5848,BROADWAY S/O 146TH STREET,02/08/2012 12:00:00 AM,Wed,7987,"BROADWAY S/O 146TH STREET, california","40.8271612, -73.9494491"
5849,BROADWAY S/O 155TH STREET,01/18/2012 12:00:00 AM,Wed,10062,"BROADWAY S/O 155TH STREET, california","40.8309147, -73.9414249"
5850,BROADWAY W/O COLIMA ROAD,07/02/2013 12:00:00 AM,Tue,3495,"BROADWAY W/O COLIMA ROAD, california","33.987763, -117.889029"
5851,BROADWAY W/O ELMORE AVENUE,11/11/2014 12:00:00 AM,Tue,4727,"BROADWAY W/O ELMORE AVENUE, california","41.5713996, -90.52868219999999"
5852,BROADWAY W/O ELMORE AVENUE,11/10/2014 12:00:00 AM,Mon,4596,"BROADWAY W/O ELMORE AVENUE, california","41.5713996, -90.52868219999999"
5853,BROADWAY W/O MUSCATEL AVENUE,09/11/2012 12:00:00 AM,Tue,14961,"BROADWAY W/O MUSCATEL AVENUE, california","34.0735256, -118.0772053"
5854,BROADWAY W/O PACIFIC BOULEVARD,05/08/2007 12:00:00 AM,Tue,14438,"BROADWAY W/O PACIFIC BOULEVARD, california","33.966965, -118.225037"
5855,AVENUE L W/O 51ST STREET W,09/21/2009 12:00:00 AM,Mon,13429,"AVENUE L W/O 51ST STREET W, california","27.473888, -82.6122889"
5856,AVENUE L W/O 51ST STREET W,09/15/2009 12:00:00 AM,Tue,13838,"AVENUE L W/O 51ST STREET W, california","27.473888, -82.6122889"
5857,AVENUE L W/O 51ST STREET W,09/14/2009 12:00:00 AM,Mon,13280,"AVENUE L W/O 51ST STREET W, california","27.473888, -82.6122889"
5858,AVENUE L-12 W/O 45TH STREET W,03/05/2014 12:00:00 AM,Wed,365,"AVENUE L-12 W/O 45TH STREET W, california","34.7260182, -118.2107545"
5859,AVENUE L-12 W/O 47TH STREET W,11/02/2014 12:00:00 AM,Sun,257,"AVENUE L-12 W/O 47TH STREET W, california","34.6839579, -118.2146789"
5860,104TH STREET W/O PRAIRIE AVENUE,07/29/2015 12:00:00 AM,Wed,2908,"104TH STREET W/O PRAIRIE AVENUE, california","42.5263609, -87.93219450000001"
5861,AVENUE L-12 W/O 47TH STREET W,11/01/2014 12:00:00 AM,Sat,330,"AVENUE L-12 W/O 47TH STREET W, california","34.6839579, -118.2146789"
5862,AVENUE L-12 W/O 47TH STREET W,10/31/2014 12:00:00 AM,Fri,484,"AVENUE L-12 W/O 47TH STREET W, california","34.6839579, -118.2146789"
5863,AVENUE L-12 W/O 47TH STREET W,10/30/2014 12:00:00 AM,Thur,418,"AVENUE L-12 W/O 47TH STREET W, california","34.6839579, -118.2146789"
5864,AVENUE L-14 W/O 47TH STREET W,09/04/2013 12:00:00 AM,Wed,794,"AVENUE L-14 W/O 47TH STREET W, california","34.6839579, -118.2146789"
5865,AVENUE L-4 E/O CARRIAGE WAY,04/04/2012 12:00:00 AM,Wed,2100,"AVENUE L-4 E/O CARRIAGE WAY, california","34.6555588, -118.2378868"
5866,AVENUE L-4 E/O CARRIAGE WAY,04/03/2012 12:00:00 AM,Tue,2074,"AVENUE L-4 E/O CARRIAGE WAY, california","34.6555588, -118.2378868"
5867,AVENUE L-4 W/O 61ST STREET W,04/04/2012 12:00:00 AM,Wed,1812,"AVENUE L-4 W/O 61ST STREET W, california","34.6528898, -118.2383883"
5868,AVENUE L-4 W/O 61ST STREET W,04/03/2012 12:00:00 AM,Tue,1717,"AVENUE L-4 W/O 61ST STREET W, california","34.6528898, -118.2383883"
5869,AVENUE L-6 E/O 47TH STREET W,08/14/2013 12:00:00 AM,Wed,200,"AVENUE L-6 E/O 47TH STREET W, california","34.6839579, -118.2146789"
5870,AVENUE L-6 E/O 50TH STREET W,09/04/2013 12:00:00 AM,Wed,272,"AVENUE L-6 E/O 50TH STREET W, california","34.7577244, -118.2196872"
5871,AVENUE L-8 E/O 40TH STREET W,04/06/2014 12:00:00 AM,Sun,3072,"AVENUE L-8 E/O 40TH STREET W, california","34.7295004, -118.20196"
5872,AVENUE L-8 E/O 40TH STREET W,04/05/2014 12:00:00 AM,Sat,3562,"AVENUE L-8 E/O 40TH STREET W, california","34.7295004, -118.20196"
5873,AVENUE L-8 E/O 40TH STREET W,04/04/2014 12:00:00 AM,Fri,4758,"AVENUE L-8 E/O 40TH STREET W, california","34.7295004, -118.20196"
5874,AVENUE L-8 E/O 40TH STREET W,04/03/2014 12:00:00 AM,Thur,4605,"AVENUE L-8 E/O 40TH STREET W, california","34.7295004, -118.20196"
5875,AVENUE L-8 E/O 40TH STREET W,04/02/2014 12:00:00 AM,Wed,4638,"AVENUE L-8 E/O 40TH STREET W, california","34.7295004, -118.20196"
5876,104TH STREET E/O FREEMAN AVENUE,07/29/2015 12:00:00 AM,Wed,3394,"104TH STREET E/O FREEMAN AVENUE, california","33.9393394, -118.348281"
5877,AVENUE L-8 E/O 40TH STREET W,10/03/2010 12:00:00 AM,Sun,2804,"AVENUE L-8 E/O 40TH STREET W, california","34.7295004, -118.20196"
5878,AVENUE L-8 E/O 40TH STREET W,10/02/2010 12:00:00 AM,Sat,3407,"AVENUE L-8 E/O 40TH STREET W, california","34.7295004, -118.20196"
5879,AVENUE L-8 E/O 40TH STREET W,10/01/2010 12:00:00 AM,Fri,4582,"AVENUE L-8 E/O 40TH STREET W, california","34.7295004, -118.20196"
5880,AVENUE L-8 E/O 40TH STREET W,09/30/2010 12:00:00 AM,Thur,4535,"AVENUE L-8 E/O 40TH STREET W, california","34.7295004, -118.20196"
5881,AVENUE L-8 E/O 47TH STREET W,04/10/2007 12:00:00 AM,Tue,4137,"AVENUE L-8 E/O 47TH STREET W, california","34.6839579, -118.2146789"
5882,AVENUE L-8 E/O 65TH STREET W,05/16/2013 12:00:00 AM,Thur,2231,"AVENUE L-8 E/O 65TH STREET W, california","34.64822729999999, -118.2449168"
5883,AVENUE L-8 W/O 40TH STREET W,04/06/2014 12:00:00 AM,Sun,3603,"AVENUE L-8 W/O 40TH STREET W, california","34.7295004, -118.20196"
5884,AVENUE L-8 W/O 40TH STREET W,04/05/2014 12:00:00 AM,Sat,4441,"AVENUE L-8 W/O 40TH STREET W, california","34.7295004, -118.20196"
5885,BALHAM AVENUE N/O VILLA PARK STREET,03/27/2007 12:00:00 AM,Tue,336,"BALHAM AVENUE N/O VILLA PARK STREET, california","41.8873669, -87.96896319999999"
5886,BALHAM AVENUE S/O GALLEANO STREET,07/24/2007 12:00:00 AM,Tue,303,"BALHAM AVENUE S/O GALLEANO STREET, california","34.0102201, -117.8941755"
5887,BALI WAY E/O ADMIRALTY WAY,08/15/2010 12:00:00 AM,Sun,9397,"BALI WAY E/O ADMIRALTY WAY, california","33.9842891, -118.4488915"
5888,BALI WAY E/O ADMIRALTY WAY,08/14/2010 12:00:00 AM,Sat,10846,"BALI WAY E/O ADMIRALTY WAY, california","33.9842891, -118.4488915"
5889,BALI WAY E/O ADMIRALTY WAY,08/13/2010 12:00:00 AM,Fri,10561,"BALI WAY E/O ADMIRALTY WAY, california","33.9842891, -118.4488915"
5890,BALI WAY E/O ADMIRALTY WAY,08/12/2010 12:00:00 AM,Thur,10217,"BALI WAY E/O ADMIRALTY WAY, california","33.9842891, -118.4488915"
5891,BALI WAY E/O ADMIRALTY WAY,07/22/2007 12:00:00 AM,Sun,13279,"BALI WAY E/O ADMIRALTY WAY, california","33.9842891, -118.4488915"
5892,LINCOLN AVENUE S/O MARIPOSA STREET,07/29/2015 12:00:00 AM,Wed,9909,"LINCOLN AVENUE S/O MARIPOSA STREET, california","42.17564489999999, -87.7832554"
5893,BALI WAY E/O ADMIRALTY WAY,07/21/2007 12:00:00 AM,Sat,14766,"BALI WAY E/O ADMIRALTY WAY, california","33.9842891, -118.4488915"
5894,BALI WAY E/O ADMIRALTY WAY,07/20/2007 12:00:00 AM,Fri,14448,"BALI WAY E/O ADMIRALTY WAY, california","33.9842891, -118.4488915"
5895,BALI WAY E/O ADMIRALTY WAY,07/19/2007 12:00:00 AM,Thur,13768,"BALI WAY E/O ADMIRALTY WAY, california","33.9842891, -118.4488915"
5896,BALI WAY W/O ADMIRALTY WAY,08/15/2010 12:00:00 AM,Sun,2222,"BALI WAY W/O ADMIRALTY WAY, california","33.9831592, -118.4566888"
5897,BALI WAY W/O ADMIRALTY WAY,08/14/2010 12:00:00 AM,Sat,2831,"BALI WAY W/O ADMIRALTY WAY, california","33.9831592, -118.4566888"
5898,BALI WAY W/O ADMIRALTY WAY,08/13/2010 12:00:00 AM,Fri,2355,"BALI WAY W/O ADMIRALTY WAY, california","33.9831592, -118.4566888"
5899,BALI WAY W/O ADMIRALTY WAY,08/12/2010 12:00:00 AM,Thur,2194,"BALI WAY W/O ADMIRALTY WAY, california","33.9831592, -118.4566888"
5900,BALI WAY W/O ADMIRALTY WAY,07/22/2007 12:00:00 AM,Sun,2782,"BALI WAY W/O ADMIRALTY WAY, california","33.9831592, -118.4566888"
5901,BALI WAY W/O ADMIRALTY WAY,07/21/2007 12:00:00 AM,Sat,2980,"BALI WAY W/O ADMIRALTY WAY, california","33.9831592, -118.4566888"
5902,BALI WAY W/O ADMIRALTY WAY,07/20/2007 12:00:00 AM,Fri,2617,"BALI WAY W/O ADMIRALTY WAY, california","33.9831592, -118.4566888"
5903,BALI WAY W/O ADMIRALTY WAY,07/19/2007 12:00:00 AM,Thur,2651,"BALI WAY W/O ADMIRALTY WAY, california","33.9831592, -118.4566888"
5904,BALL AVENUE N/O 158TH STREET,02/04/2009 12:00:00 AM,Wed,319,"BALL AVENUE N/O 158TH STREET, california","40.834799, -73.94474950000001"
5905,BALL AVENUE N/O 158TH STREET,02/03/2009 12:00:00 AM,Tue,276,"BALL AVENUE N/O 158TH STREET, california","40.834799, -73.94474950000001"
5906,BALL AVENUE N/O NEWFIELD STREET,02/03/2009 12:00:00 AM,Tue,617,"BALL AVENUE N/O NEWFIELD STREET, california","40.2049604, -85.40628459999999"
5907,BALL FLAT ROAD N/O BIG PINES HIGHWAY,02/18/2014 12:00:00 AM,Tue,2,"BALL FLAT ROAD N/O BIG PINES HIGHWAY, california","34.37889, -117.68917"
5908,BALL FLAT ROAD N/O BIG PINES HIGHWAY,02/17/2014 12:00:00 AM,Mon,8,"BALL FLAT ROAD N/O BIG PINES HIGHWAY, california","34.37889, -117.68917"
5909,BALL FLAT ROAD N/O BIG PINES HIGHWAY,02/16/2014 12:00:00 AM,Sun,14,"BALL FLAT ROAD N/O BIG PINES HIGHWAY, california","34.37889, -117.68917"
5910,BALL FLAT ROAD N/O BIG PINES HIGHWAY,02/15/2014 12:00:00 AM,Sat,12,"BALL FLAT ROAD N/O BIG PINES HIGHWAY, california","34.37889, -117.68917"
5911,BALL FLAT ROAD N/O BIG PINES HIGHWAY,02/14/2014 12:00:00 AM,Fri,15,"BALL FLAT ROAD N/O BIG PINES HIGHWAY, california","34.37889, -117.68917"
5912,BALL FLAT ROAD N/O BIG PINES HIGHWAY,02/13/2014 12:00:00 AM,Thur,14,"BALL FLAT ROAD N/O BIG PINES HIGHWAY, california","34.37889, -117.68917"
5913,BLANCHARD STREET W/O GAGE AVENUE,05/13/2013 12:00:00 AM,Mon,4041,"BLANCHARD STREET W/O GAGE AVENUE, california","34.045862, -118.184959"
5914,BLANCHE STREET E/O QUIGLEY AVENUE,10/18/2011 12:00:00 AM,Tue,848,"BLANCHE STREET E/O QUIGLEY AVENUE, california",N/A
5915,BLANCHE STREET E/O QUIGLEY AVENUE,10/17/2011 12:00:00 AM,Mon,778,"BLANCHE STREET E/O QUIGLEY AVENUE, california",N/A
